respondent_id,age,gender,nationality_region,emirate,education_level,field_of_study,target_industry,years_experience,career_stage,employment_status,monthly_income_aed,goal_type,primary_challenge,signup_channel,subscription_tier,months_active,sessions_attended,messages_sent,num_mentors,mentor_industry_match,mentor_match_score,avg_session_rating,response_time_hours,goals_completed,income_growth_pct,skills_gained,confidence_score,referred_friend,days_to_subscribe,churned,career_outcome
MM0272,30,Male,South Asian,Dubai,Bachelor's,Business,Hospitality & Tourism,1.3,Entry-Level,Underemployed,2800.0,Skill Development,Interview Preparation,Instagram,Free,14,7,32,1,No,59,2.7,29,1,8.2,3,3.3,No,,,Limited
MM0273,28,Male,MENA (Arab),Dubai,Bachelor's,Business,Consulting,7.2,Mid-Level,Employed,14200.0,Salary Increase,Career Direction,Referral,Basic,7,8,33,3,Yes,74,3.6,12,5,34.1,7,7.2,No,13.0,No,Positive
MM0274,38,Male,MENA (Arab),Dubai,Bachelor's,Healthcare,Technology / IT,1.2,Entry-Level,Employed,5700.0,Salary Increase,Skills Gap,Referral,Premium,17,21,74,1,Yes,65,3.5,10,6,36.9,9,7.0,No,11.0,No,Positive
MM0275,36,Female,South Asian,Dubai,Bachelor's,Engineering,Finance & Banking,0.9,Student / Fresh Grad,Underemployed,4500.0,Networking,Skills Gap,Instagram,Free,6,2,32,1,No,50,3.4,18,0,-7.6,0,1.2,No,,,Limited
MM0276,30,Male,South Asian,Dubai,Bachelor's,Finance,Logistics & Supply Chain,2.7,Entry-Level,Underemployed,5400.0,Job Placement,Visa / Sponsorship,LinkedIn,Basic,11,18,43,2,Yes,70,3.2,16,1,41.7,4,9.0,Yes,9.0,No,Positive
MM0277,24,Female,South Asian,Abu Dhabi,Master's,Finance,Healthcare,4.4,Junior,Employed,8900.0,Career Switch,Salary Negotiation,Instagram,Basic,7,7,27,1,Yes,84,3.3,1,2,12.2,2,3.7,Yes,2.0,No,Limited
MM0278,23,Female,South Asian,Dubai,Diploma,Healthcare,Finance & Banking,2.0,Entry-Level,Employed,9800.0,Salary Increase,Limited Professional Network,Instagram,Basic,3,9,40,1,No,73,3.5,48,1,0.7,2,3.1,Yes,7.0,No,Positive
MM0279,34,Male,South Asian,Sharjah,Master's,Marketing,Technology / IT,3.1,Junior,Underemployed,7600.0,Promotion,Visa / Sponsorship,Google Search,Basic,21,17,40,4,Yes,74,,11,5,36.8,7,6.3,No,6.0,Yes,Positive
MM0280,29,Male,South Asian,Dubai,Bachelor's,Healthcare,Retail,1.7,Entry-Level,Employed,3700.0,Promotion,Limited Professional Network,University Partnership,Basic,11,0,2,0,Yes,0,0.0,29,0,-15.0,0,1.0,No,8.0,No,Limited
MM0281,30,Female,MENA (Arab),Dubai,Master's,Finance,Consulting,1.8,Entry-Level,Underemployed,5000.0,Salary Increase,Limited Professional Network,Google Search,Free,10,11,74,1,Yes,61,3.0,15,3,10.9,4,5.4,No,,,Limited
MM0282,20,Male,South Asian,Dubai,Bachelor's,IT / Computer Science,Consulting,8.8,Mid-Level,Unemployed,0.0,Networking,Interview Preparation,Instagram,Free,7,0,4,0,No,0,0.0,16,0,-10.5,0,1.8,No,,,Limited
MM0283,32,Female,South Asian,Dubai,Diploma,Engineering,Finance & Banking,2.5,Entry-Level,Employed,12900.0,Skill Development,Limited Professional Network,LinkedIn,Free,14,6,43,1,Yes,63,3.1,8,2,14.7,3,4.4,No,,,Positive
MM0284,30,Male,South Asian,Dubai,Master's,Engineering,Retail,6.9,Mid-Level,Underemployed,7300.0,Salary Increase,Limited Professional Network,University Partnership,Free,5,9,32,1,No,60,3.2,9,2,10.9,5,4.7,No,,,Limited
MM0285,23,Female,MENA (Arab),Sharjah,Master's,IT / Computer Science,Construction,0.5,Student / Fresh Grad,Unemployed,0.0,Job Placement,Salary Negotiation,University Partnership,Free,6,3,28,1,No,61,2.9,2,0,5.6,3,4.1,No,,,Limited
MM0286,26,Female,South Asian,Dubai,Master's,Business,Healthcare,5.7,Junior,Unemployed,0.0,Skill Development,Limited Professional Network,LinkedIn,Basic,4,9,22,1,Yes,77,3.4,41,3,29.3,3,5.6,No,5.0,Yes,Positive
MM0287,29,Male,MENA (Arab),Abu Dhabi,PhD,IT / Computer Science,Technology / IT,1.4,Entry-Level,Underemployed,3500.0,Salary Increase,Interview Preparation,Referral,Premium,10,16,52,1,No,61,4.1,22,3,9.9,4,4.4,No,10.0,No,Positive
MM0288,28,Male,South Asian,Dubai,Bachelor's,Engineering,Consulting,4.8,Junior,Underemployed,9200.0,Job Placement,Visa / Sponsorship,Instagram,Basic,15,15,40,3,Yes,67,3.4,4,3,13.1,5,3.6,No,15.0,No,Positive
MM0289,27,Female,South Asian,Dubai,Master's,Business,Logistics & Supply Chain,1.4,Entry-Level,Employed,,Job Placement,Career Direction,LinkedIn,Premium,8,11,62,1,Yes,87,3.1,6,2,45.7,4,6.7,No,8.0,No,Positive
MM0290,28,Male,African,Dubai,Bachelor's,Engineering,Marketing & Media,1.9,Entry-Level,Employed,7200.0,Networking,Interview Preparation,University Partnership,Free,2,0,0,0,No,0,0.0,21,0,-3.5,0,1.0,Yes,,,Limited
MM0291,27,Male,South Asian,Dubai,Bachelor's,Marketing,Retail,1.0,Entry-Level,Employed,4100.0,Promotion,Limited Professional Network,University Partnership,Free,12,4,24,1,No,51,4.2,5,1,1.7,2,3.0,No,,,Limited
MM0292,29,Male,South Asian,Dubai,Bachelor's,Finance,Consulting,4.8,Junior,Employed,13300.0,Job Placement,Career Direction,University Partnership,Free,8,3,3,1,No,47,3.8,7,2,10.1,3,4.5,No,,,Positive
MM0293,35,Male,South Asian,Ajman,Diploma,Healthcare,Technology / IT,5.4,Junior,Employed,13500.0,Job Placement,Skills Gap,LinkedIn,Basic,20,12,32,2,Yes,73,3.7,9,4,12.6,3,4.7,No,12.0,No,Positive
MM0294,20,Female,African,Abu Dhabi,Bachelor's,IT / Computer Science,Hospitality & Tourism,1.4,Entry-Level,Underemployed,3200.0,Career Switch,Visa / Sponsorship,Instagram,Basic,5,8,25,2,No,56,4.0,31,1,-11.3,2,1.2,Yes,5.0,No,Limited
MM0295,27,Female,MENA (Arab),Ras Al Khaimah,Master's,Healthcare,Logistics & Supply Chain,0.6,Student / Fresh Grad,Underemployed,2800.0,Career Switch,Interview Preparation,University Partnership,Free,9,6,28,1,No,48,3.5,8,0,-15.0,0,1.0,Yes,,,Limited
MM0296,29,Male,MENA (Arab),Dubai,Bachelor's,Healthcare,Technology / IT,6.8,Mid-Level,Employed,16500.0,Networking,Interview Preparation,Referral,Premium,5,12,59,3,Yes,98,3.8,13,4,10.4,5,6.1,Yes,14.0,No,Positive
MM0297,29,Female,African,Abu Dhabi,Master's,Business,Technology / IT,1.6,Entry-Level,Employed,6800.0,Skill Development,Visa / Sponsorship,Instagram,Free,6,8,34,1,No,46,2.6,44,3,9.5,3,2.5,No,,,Limited
MM0298,26,MALE,South Asian,Abu Dhabi,Bachelor's,Other,Marketing & Media,2.4,Entry-Level,Employed,7700.0,Skill Development,Visa / Sponsorship,Instagram,Free,7,4,12,1,No,55,4.3,30,1,17.2,2,4.2,No,,,Positive
MM0299,20,Male,African,Abu Dhabi,Bachelor's,Business,Hospitality & Tourism,1.2,Entry-Level,Employed,5000.0,Job Placement,Limited Professional Network,LinkedIn,Basic,3,9,28,2,No,60,3.2,1,4,28.0,5,5.5,Yes,23.0,No,Positive
MM0300,30,Female,South Asian,Ras Al Khaimah,Bachelor's,Finance,Logistics & Supply Chain,4.5,Junior,Employed,7400.0,Career Switch,Interview Preparation,Referral,Premium,16,24,104,3,Yes,69,3.3,1,5,29.2,7,4.1,No,14.0,No,Positive
MM0301,36,Female,MENA (Arab),Abu Dhabi,Bachelor's,Healthcare,Finance & Banking,4.6,Junior,Employed,16100.0,Career Switch,Career Direction,Google Search,Basic,12,8,35,1,Yes,60,3.4,9,2,38.7,5,8.1,No,5.0,No,Positive
MM0302,21,Male,MENA (Arab),Sharjah,Diploma,Engineering,Technology / IT,7.6,Mid-Level,Underemployed,11100.0,Networking,Skills Gap,LinkedIn,Free,8,4,9,1,Yes,61,3.5,7,0,3.4,0,3.3,No,,,Limited
MM0303,32,Male,South Asian,Abu Dhabi,Bachelor's,Finance,Technology / IT,5.8,Junior,Employed,15800.0,Salary Increase,Career Direction,LinkedIn,Premium,5,14,74,1,Yes,62,3.7,19,4,43.2,6,7.7,Yes,5.0,No,Positive
MM0304,26,Male,African,Dubai,Diploma,Engineering,Consulting,5.6,Junior,Underemployed,10200.0,Career Switch,Limited Professional Network,Instagram,Free,3,8,10,1,No,66,3.7,4,1,-5.0,3,3.8,No,,,Limited
MM0305,28,Female,South Asian,Abu Dhabi,Diploma,Business,Marketing & Media,2.6,Entry-Level,Student,0.0,Salary Increase,Salary Negotiation,Referral,Basic,13,5,1,1,Yes,68,3.2,4,4,13.3,4,5.4,Yes,10.0,No,Positive
MM0306,23,Male,African,Dubai,Master's,Business,Hospitality & Tourism,2.3,Entry-Level,Underemployed,4000.0,Job Placement,Career Direction,Instagram,Free,6,0,0,0,No,0,0.0,18,0,-15.0,0,1.0,Yes,,,Limited
MM0307,26,Male,South Asian,Sharjah,Diploma,Business,Hospitality & Tourism,4.5,Junior,Employed,10000.0,Career Switch,Interview Preparation,LinkedIn,Free,5,8,47,2,No,61,3.7,14,4,7.7,4,3.2,No,,,Limited
MM0308,34,Female,MENA (Arab),Abu Dhabi,Master's,Business,Finance & Banking,2.5,Entry-Level,Employed,9800.0,Networking,Limited Professional Network,Google Search,Basic,15,13,57,1,No,58,3.1,3,2,-3.6,4,4.0,Yes,16.0,No,Limited
MM0309,31,MALE,African,Dubai,Master's,Finance,Consulting,6.0,Mid-Level,Employed,17900.0,Career Switch,Visa / Sponsorship,LinkedIn,Premium,10,16,57,1,Yes,86,4.5,29,5,23.5,8,6.4,Yes,12.0,Yes,Positive
MM0310,36,Male,South Asian,Dubai,Bachelor's,IT / Computer Science,Retail,1.1,Entry-Level,Underemployed,3000.0,Salary Increase,Limited Professional Network,Referral,Basic,4,2,10,2,No,54,3.3,1,3,-9.5,3,1.9,No,19.0,No,Limited
MM0311,34,Male,East/SE Asian,Dubai,Bachelor's,IT / Computer Science,Marketing & Media,0.5,Student / Fresh Grad,Student,0.0,Job Placement,Interview Preparation,Referral,Premium,14,23,82,1,Yes,80,4.5,16,4,50.9,5,9.5,No,15.0,Yes,Positive
MM0312,30,Male,MENA (Arab),Dubai,Diploma,Marketing,Technology / IT,4.1,Junior,Employed,13600.0,Networking,Career Direction,Instagram,Basic,4,10,42,1,No,68,2.8,16,3,8.6,4,3.7,No,14.0,No,Positive
MM0313,36,Male,Western,Dubai,Bachelor's,Business,Healthcare,1.8,Entry-Level,Employed,8100.0,Job Placement,Visa / Sponsorship,Referral,Basic,7,10,34,1,Yes,63,3.8,17,4,21.2,6,6.8,No,14.0,Yes,Positive
MM0314,30,Female,South Asian,Abu Dhabi,Diploma,Engineering,Technology / IT,1.0,Entry-Level,Unemployed,0.0,Job Placement,Limited Professional Network,Referral,Basic,9,18,62,2,No,64,3.0,1,5,4.2,6,5.3,Yes,10.0,No,Positive
MM0315,32,Female,MENA (Arab),Abu Dhabi,Master's,Marketing,Finance & Banking,10.9,Mid-Level,Employed,29900.0,Career Switch,Visa / Sponsorship,Referral,Premium,13,9,46,3,Yes,58,3.1,5,2,19.7,3,5.0,Yes,6.0,No,Positive
MM0316,27,Female,MENA (Arab),Sharjah,Bachelor's,Arts & Humanities,Technology / IT,2.8,Entry-Level,Employed,11500.0,Salary Increase,Skills Gap,Referral,Premium,5,15,46,4,Yes,91,4.2,8,5,40.3,6,8.9,No,11.0,Yes,Positive
MM0317,28,Female,MENA (Arab),Dubai,Bachelor's,IT / Computer Science,Finance & Banking,0.8,Student / Fresh Grad,Unemployed,0.0,Promotion,Skills Gap,Instagram,Free,1,0,0,0,Yes,0,0.0,18,0,-15.0,1,1.0,Yes,,,Limited
MM0318,25,Male,South Asian,Dubai,Diploma,Business,Technology / IT,1.6,Entry-Level,Employed,7700.0,Skill Development,Limited Professional Network,Instagram,Free,1,1,6,1,No,49,4.6,12,1,0.2,1,2.9,No,,,Limited
MM0319,33,Male,South Asian,Dubai,Bachelor's,Healthcare,Marketing & Media,2.2,Entry-Level,Underemployed,3800.0,Job Placement,Salary Negotiation,Instagram,Free,15,8,33,1,Yes,61,3.7,21,1,27.4,3,5.6,Yes,,,Positive
MM0320,22,Female,East/SE Asian,Sharjah,Bachelor's,Arts & Humanities,Technology / IT,4.0,Junior,Employed,12300.0,Job Placement,Limited Professional Network,Instagram,Basic,3,4,20,1,Yes,62,3.1,8,2,21.5,4,5.7,No,11.0,No,Positive
MM0321,32,Male,South Asian, Dubai ,Bachelor's,IT / Computer Science,Marketing & Media,1.6,Entry-Level,Student,0.0,Job Placement,Interview Preparation,Instagram,Free,17,13,54,1,No,41,3.5,7,1,18.7,1,5.2,No,,,Positive
MM0322,27,Female,Western,Dubai,PhD,Engineering,Retail,2.4,Entry-Level,Employed,5300.0,Networking,Skills Gap,LinkedIn,Free,12,10,30,1,Yes,67,3.4,7,1,19.6,1,5.5,No,,,Positive
MM0323,34,Female,African,Dubai,Diploma,Business,Healthcare,3.4,Junior,Employed,8300.0,Job Placement,Limited Professional Network,Referral,Basic,4,4,23,1,Yes,76,4.0,15,0,18.9,1,3.1,No,6.0,No,Limited
MM0324,32,Male,South Asian,Abu Dhabi,Diploma,Finance,Hospitality & Tourism,3.9,Junior,Underemployed,3200.0,Career Switch,Interview Preparation,LinkedIn,Free,1,2,0,1,No,42,3.1,7,1,-6.2,2,4.3,Yes,,,Limited
MM0325,37,Male,South Asian,Dubai,Bachelor's,Arts & Humanities,Marketing & Media,2.6,Entry-Level,Unemployed,0.0,Skill Development,Interview Preparation,University Partnership,Free,6,2,5,1,No,55,3.6,22,0,-3.5,1,1.7,No,,,Limited
MM0326,32,Male,MENA (Arab),Abu Dhabi,Bachelor's,Finance,Finance & Banking,8.7,Mid-Level,Underemployed,9800.0,Promotion,Skills Gap,Referral,Basic,5,7,45,1,No,64,3.6,3,1,-0.9,3,2.6,No,8.0,No,Limited
MM0327,20,Male,South Asian,Abu Dhabi,Master's,Engineering,Real Estate,4.5,Junior,Employed,14600.0,Career Switch,Salary Negotiation,LinkedIn,Basic,15,14,27,3,No,56,3.4,1,5,27.5,5,5.1,No,7.0,No,Positive
MM0328,28,Male,MENA (Arab),Abu Dhabi,Master's,Finance,Hospitality & Tourism,4.4,Junior,Employed,7500.0,Job Placement,Skills Gap,Referral,Basic,9,7,14,1,Yes,59,3.9,42,3,8.9,4,4.0,No,9.0,Yes,Positive
MM0329,22,Male,MENA (Arab),Dubai,Master's,Healthcare,Logistics & Supply Chain,4.3,Junior,Employed,12800.0,Career Switch,Visa / Sponsorship,Instagram,Free,6,3,16,1,Yes,62,2.5,33,0,0.9,0,3.8,No,,,Limited
MM0330,26,Female,MENA (Arab),Dubai,Bachelor's,IT / Computer Science,Logistics & Supply Chain,6.0,Mid-Level,Underemployed,7900.0,Skill Development,Career Direction,University Partnership,Free,5,3,8,1,No,53,3.4,15,0,-4.5,2,1.7,No,,,Limited
MM0331,35,Female,South Asian,Dubai,Bachelor's,Healthcare,Logistics & Supply Chain,3.2,Junior,Employed,8300.0,Job Placement,Career Direction,University Partnership,Free,10,10,44,1,No,49,2.9,9,4,7.1,6,3.6,No,,,Limited
MM0332,31,Female,Western,Dubai,Master's,Engineering,Consulting,1.1,Entry-Level,Underemployed,3400.0,Skill Development,Limited Professional Network,Google Search,Free,6,2,9,1,Yes,57,2.7,23,1,9.6,1,3.2,No,,,Limited
MM0333,25,Male,MENA (Arab),Abu Dhabi,Bachelor's,Engineering,Hospitality & Tourism,3.7,Junior,Employed,7600.0,Job Placement,Career Direction,Referral,Basic,21,18,80,1,Yes,75,3.2,48,4,17.9,4,5.3,Yes,12.0,Yes,Positive
MM0334,23,Male,South Asian,Dubai,Bachelor's,Finance,Logistics & Supply Chain,4.1,Junior,Employed,12400.0,Salary Increase,Salary Negotiation,University Partnership,Premium,4,3,25,1,Yes,91,3.5,2,2,2.3,2,3.4,No,2.0,No,Positive
MM0335,28,Male,MENA (Arab),Dubai,Bachelor's,IT / Computer Science,Logistics & Supply Chain,6.7,Mid-Level,Employed,16100.0,Salary Increase,Limited Professional Network,Referral,Premium,8,10,35,1,Yes,73,3.5,36,1,15.0,4,5.6,Yes,5.0,No,Positive
MM0336,22,Male,East/SE Asian,Dubai,Bachelor's,Other,Hospitality & Tourism,1.0,Entry-Level,Employed,4900.0,Job Placement,Skills Gap,Google Search,Basic,10,10,33,4,Yes,68,3.7,5,4,12.1,5,5.8,Yes,7.0,No,Positive
MM0337,25,Female,MENA (Arab),Abu Dhabi,Master's,IT / Computer Science,Retail,1.3,Entry-Level,Underemployed,2500.0,Promotion,Limited Professional Network,LinkedIn,Premium,11,19,70,3,No,93,4.1,1,6,56.6,10,8.2,Yes,6.0,No,Positive
MM0338,29,Male,MENA (Arab),Dubai,Bachelor's,Engineering,Logistics & Supply Chain,2.8,Entry-Level,Employed,6700.0,Career Switch,Interview Preparation,University Partnership,Basic,21,18,52,1,Yes,74,3.4,10,4,26.3,6,5.5,Yes,7.0,No,Positive
MM0339,34,Male,South Asian,Abu Dhabi,PhD,Engineering,Hospitality & Tourism,4.3,Junior,Employed,7100.0,Networking,Career Direction,Referral,Premium,6,9,29,1,No,57,4.2,1,2,25.1,5,5.9,Yes,2.0,No,Positive
MM0340,31,Female,South Asian,Dubai,Bachelor's,IT / Computer Science,Finance & Banking,0.8,Student / Fresh Grad,Employed,8700.0,Promotion,Visa / Sponsorship,LinkedIn,Premium,3,14,48,3,Yes,76,3.4,14,4,23.1,3,5.9,Yes,9.0,No,Positive
MM0341,20,Male,South Asian,Ras Al Khaimah,Diploma,Engineering,Technology / IT,1.0,Entry-Level,Underemployed,5700.0,Skill Development,Skills Gap,University Partnership,Free,11,10,42,1,Yes,55,2.4,4,1,-0.6,2,3.8,No,,,Limited
MM0342,29,Male,South Asian,Abu Dhabi,Bachelor's,Marketing,Marketing & Media,5.1,Junior,Employed,10800.0,Job Placement,Limited Professional Network,Referral,Premium,10,18,67,2,Yes,83,3.5,12,5,47.4,6,8.3,Yes,3.0,No,Positive
MM0343,28,Male,African,Dubai,Bachelor's,Engineering,Finance & Banking,0.9,Student / Fresh Grad,Student,0.0,Job Placement,Skills Gap,University Partnership,Basic,13,11,53,1,Yes,74,3.6,21,1,13.5,3,3.9,Yes,12.0,No,Positive
MM0344,30,Female,South Asian,Dubai,Bachelor's,Engineering,Hospitality & Tourism,1.3,Entry-Level,Unemployed,0.0,Skill Development,Salary Negotiation,LinkedIn,Basic,9,6,12,1,Yes,65,1.8,38,1,9.2,1,5.0,Yes,7.0,Yes,Limited
MM0345,36,Female,Western,Dubai,Diploma,Finance,Healthcare,5.3,Junior,Employed,12200.0,Skill Development,Limited Professional Network,Referral,Free,1,3,11,1,Yes,79,4.3,4,2,19.2,3,4.7,Yes,,,Positive
MM0346,20,Male,South Asian, Dubai ,Bachelor's,Business,Logistics & Supply Chain,4.3,Junior,Employed,12200.0,Networking,Skills Gap,Referral,Basic,9,8,18,1,Yes,72,3.5,4,2,5.9,4,4.4,No,23.0,No,Positive
MM0347,25,Female,South Asian,Dubai,Master's,Finance,Logistics & Supply Chain,1.6,Entry-Level,Employed,5300.0,Networking,Visa / Sponsorship,LinkedIn,Free,3,5,6,1,No,46,2.7,10,1,-2.3,2,3.3,No,,,Limited
MM0348,31,Female,South Asian,Sharjah,Bachelor's,IT / Computer Science,Marketing & Media,3.9,Junior,Employed,9100.0,Skill Development,Salary Negotiation,Google Search,Premium,8,6,33,1,Yes,69,3.0,12,0,10.2,1,4.7,Yes,3.0,No,Positive
MM0349,20,Female,South Asian,Abu Dhabi,Bachelor's,IT / Computer Science,Real Estate,3.4,Junior,Employed,10300.0,Promotion,Interview Preparation,Referral,Free,5,2,7,4,Yes,54,3.7,12,3,30.7,2,3.8,Yes,,,Positive
MM0350,35,Male,Western,Dubai,Bachelor's,Marketing,Finance & Banking,2.5,Entry-Level,Employed,8800.0,Salary Increase,Interview Preparation,LinkedIn,Free,2,6,44,1,Yes,51,3.8,6,1,13.7,2,2.9,No,,,Limited
MM0351,30,Male,African,Abu Dhabi,Master's,Marketing,Consulting,2.0,Entry-Level,Unemployed,0.0,Networking,Visa / Sponsorship,Referral,Free,3,5,31,1,Yes,60,3.1,9,2,6.5,2,3.5,No,,,Positive
MM0352,32,Female,East/SE Asian,Dubai,Bachelor's,Healthcare,Technology / IT,3.8,Junior,Employed,10800.0,Salary Increase,Interview Preparation,LinkedIn,Basic,12,10,19,1,Yes,63,2.8,12,2,-2.0,4,5.3,No,7.0,No,Positive
MM0353,25,Male,South Asian,Ras Al Khaimah,Diploma,Engineering,Healthcare,1.0,Entry-Level,Underemployed,3500.0,Salary Increase,Interview Preparation,Google Search,Premium,13,10,29,3,No,75,3.7,2,1,23.7,4,5.6,No,4.0,No,Positive
MM0354,32,Female,Western, Dubai ,Bachelor's,Engineering,Retail,3.8,Junior,Employed,9200.0,Career Switch,Interview Preparation,Google Search,Free,1,3,0,2,Yes,57,3.5,38,0,2.9,0,5.2,No,,,Positive
MM0355,33,Female,South Asian,Abu Dhabi,Bachelor's,Marketing,Healthcare,3.2,Junior,Employed,12700.0,Skill Development,Skills Gap,Instagram,Free,7,3,0,1,No,58,3.7,18,1,-4.1,3,1.8,No,,,Limited
MM0356,29,Male,East/SE Asian,Abu Dhabi,Bachelor's,Finance,Consulting,3.4,Junior,Unemployed,0.0,Skill Development,Career Direction,Instagram,Free,11,4,14,1,Yes,66,3.2,6,1,-8.9,2,5.0,No,,,Limited
MM0357,29,Female,MENA (Arab),Dubai,Diploma,Finance,Consulting,1.2,Entry-Level,Employed,7600.0,Job Placement,Visa / Sponsorship,Instagram,Free,6,7,43,1,Yes,68,3.5,13,0,1.7,2,2.5,No,,,Limited
MM0358,29,Female,South Asian,Dubai,PhD,IT / Computer Science,Logistics & Supply Chain,6.8,Mid-Level,Unemployed,0.0,Skill Development,Limited Professional Network,Instagram,Free,7,0,1,0,Yes,0,0.0,21,0,-15.0,0,1.1,No,,,Limited
MM0359,24,Female,South Asian,Dubai,Bachelor's,Marketing,Real Estate,1.6,Entry-Level,Underemployed,4100.0,Career Switch,Career Direction,Google Search,Free,1,3,10,2,Yes,80,4.1,17,3,25.5,2,7.1,No,,,Positive
MM0360,27,Male,South Asian,Sharjah,Bachelor's,Business,Hospitality & Tourism,1.8,Entry-Level,Employed,5000.0,Promotion,Limited Professional Network,LinkedIn,Free,13,11,19,1,No,42,3.9,9,4,5.1,4,3.3,No,,,Limited
MM0361,27,Female,South Asian, Dubai ,Bachelor's,IT / Computer Science,Technology / IT,2.4,Entry-Level,Underemployed,6000.0,Job Placement,Career Direction,Instagram,Free,2,4,30,1,No,58,4.2,12,2,3.9,4,5.0,No,,,Positive
MM0362,30,Male,East/SE Asian,Abu Dhabi,Bachelor's,Business,Healthcare,4.3,Junior,Employed,10300.0,Skill Development,Interview Preparation,LinkedIn,Basic,6,6,32,2,Yes,75,4.3,9,2,28.5,2,5.0,Yes,4.0,Yes,Positive
MM0363,33,Female,Western,Abu Dhabi,Bachelor's,IT / Computer Science,Technology / IT,3.3,Junior,Underemployed,6800.0,Skill Development,Career Direction,Referral,Basic,12,11,25,2,Yes,81,4.6,23,2,24.3,4,5.9,Yes,8.0,No,Positive
MM0364,23,Female,African,Sharjah,Bachelor's,Finance,Hospitality & Tourism,0.6,Student / Fresh Grad,Student,0.0,Promotion,Skills Gap,Google Search,Basic,18,21,62,3,No,60,3.9,18,6,18.4,8,6.8,Yes,4.0,No,Positive
MM0365,27,Female,South Asian,Dubai,Bachelor's,IT / Computer Science,Marketing & Media,2.7,Entry-Level,Underemployed,5000.0,Job Placement,Salary Negotiation,LinkedIn,Basic,6,9,31,4,Yes,82,3.4,1,4,13.2,4,5.4,Yes,3.0,Yes,Positive
MM0366,35,Male,MENA (Arab),Dubai,Bachelor's,Engineering,Finance & Banking,2.9,Entry-Level,Employed,10200.0,Promotion,Interview Preparation,LinkedIn,Basic,24,16,57,1,Yes,59,4.2,32,5,20.6,5,8.5,Yes,2.0,No,Positive
MM0367,24,Male,South Asian,Abu Dhabi,Bachelor's,Arts & Humanities,Healthcare,6.9,Mid-Level,Employed,14700.0,Job Placement,Skills Gap,LinkedIn,Premium,10,15,82,1,Yes,71,2.9,36,4,4.8,4,5.7,Yes,2.0,No,Positive
MM0368,24,Male,MENA (Arab),Dubai,Master's,Marketing,Technology / IT,2.1,Entry-Level,Employed,8900.0,Career Switch,Visa / Sponsorship,LinkedIn,Free,6,2,3,1,No,45,4.4,10,1,14.9,1,5.2,No,,,Limited
MM0369,29,Male,South Asian,Sharjah,Bachelor's,IT / Computer Science,Technology / IT,4.0,Junior,Employed,11700.0,Career Switch,Limited Professional Network,Instagram,Free,3,5,25,1,Yes,61,,20,1,22.7,1,4.1,No,,,Positive
MM0370,32,Male,South Asian,Dubai,Bachelor's,Other,Finance & Banking,13.0,Mid-Level,Employed,26600.0,Salary Increase,Visa / Sponsorship,Google Search,Premium,8,9,39,2,Yes,80,4.1,58,2,11.4,2,4.6,No,7.0,No,Positive
MM0371,28,Female,MENA (Arab),Dubai,Master's,IT / Computer Science,Finance & Banking,6.1,Mid-Level,Unemployed,0.0,Career Switch,Career Direction,Instagram,Free,7,4,21,1,Yes,55,4.1,14,0,26.2,1,4.6,No,,,Positive
MM0372,34,Male,South Asian,Abu Dhabi,Master's,Healthcare,Retail,1.2,Entry-Level,Unemployed,0.0,Promotion,Visa / Sponsorship,LinkedIn,Basic,10,6,14,1,Yes,62,3.7,12,2,26.4,5,4.7,Yes,23.0,No,Positive
MM0373,32,Female,MENA (Arab),Dubai,Bachelor's,Business,Retail,4.7,Junior,Employed,9500.0,Networking,Salary Negotiation,Referral,Premium,11,20,86,4,Yes,74,2.6,15,6,44.3,9,9.2,Yes,12.0,No,Positive
MM0374,32,Female,MENA (Arab),Dubai,Master's,Engineering,Consulting,3.8,Junior,Employed,8400.0,Career Switch,Skills Gap,Google Search,Free,4,7,33,1,Yes,47,2.8,33,0,2.2,1,2.2,No,,,Limited
MM0375,31,Male,South Asian,Dubai,Bachelor's,Engineering,Healthcare,2.1,Entry-Level,Employed,10100.0,Salary Increase,Visa / Sponsorship,Instagram,Basic,16,12,43,3,Yes,68,3.7,1,7,35.2,8,5.9,Yes,7.0,No,Positive
MM0376,39,Female,African,Dubai,Bachelor's,Business,Marketing & Media,4.7,Junior,Underemployed,6300.0,Job Placement,Career Direction,LinkedIn,Basic,8,5,13,1,Yes,70,3.9,10,2,13.9,3,3.9,No,4.0,No,Positive
MM0377,27,Female,MENA (Arab),Sharjah,Master's,IT / Computer Science,Construction,1.1,Entry-Level,Employed,,Career Switch,Limited Professional Network,Google Search,Free,6,0,3,0,No,0,0.0,33,0,-7.3,0,1.6,No,,,Limited
MM0378,20,Male,Western,Dubai,Master's,Business,Hospitality & Tourism,1.6,Entry-Level,Student,0.0,Job Placement,Interview Preparation,LinkedIn,Premium,5,16,47,2,Yes,82,3.7,15,7,31.4,9,7.9,Yes,3.0,No,Positive
MM0379,36,Male,MENA (Arab),Dubai,Bachelor's,Finance,Finance & Banking,2.4,Entry-Level,Unemployed,0.0,Promotion,Skills Gap,Google Search,Free,9,9,35,1,Yes,78,2.9,18,2,-6.3,3,4.4,No,,,Positive
MM0380,26,Female,Western,Dubai,Bachelor's,Business,Consulting,2.0,Entry-Level,Employed,9800.0,Salary Increase,Limited Professional Network,Google Search,Free,6,5,29,1,Yes,69,4.4,16,2,-7.3,3,2.9,No,,,Limited
